ROUTE,DAY,DELAY
ATL-BUF,MON,1337
ATL-BUF,TUE,1652
ATL-BUF,WED,1098
ATL-BUF,THU,1950
ATL-BUF,FRI,1144
ATL-BUF,SAT,368
ATL-BWI,SUN,4705
ATL-BWI,MON,8341
ATL-BWI,TUE,8683
ATL-BWI,WED,8313
ATL-BWI,THU,11746
ATL-BWI,FRI,8977
ATL-BWI,SAT,3332
ATL-BZN,SUN,804
ATL-BZN,MON,0
ATL-BZN,TUE,0
ATL-BZN,WED,204
ATL-BZN,THU,184
ATL-BZN,FRI,0
ATL-BZN,SAT,714
ATL-CAE,SUN,3317
ATL-CAE,MON,4496
ATL-CAE,TUE,4947
ATL-CAE,WED,4501
ATL-CAE,THU,3929
ATL-CAE,FRI,3611
ATL-CAE,SAT,1918
ATL-CAK,SUN,1545
ATL-CAK,MON,1285
ATL-CAK,TUE,4497
ATL-CAK,WED,2802
ATL-CAK,THU,1996
ATL-CAK,FRI,1475
ATL-CAK,SAT,1005
ATL-CHA,SUN,2777
ATL-CHA,MON,4680
ATL-CHA,TUE,4317
ATL-CHA,WED,5122
ATL-CHA,THU,4973
ATL-CHA,FRI,4420
ATL-CHA,SAT,1375
ATL-CHO,SUN,1443
ATL-CHO,MON,2988
ATL-CHO,TUE,1957
ATL-CHO,WED,1447
ATL-CHO,THU,1299
ATL-CHO,FRI,1348
ATL-CHO,SAT,993
ATL-CHS,SUN,1813
ATL-CHS,MON,3458
ATL-CHS,TUE,2842
ATL-CHS,WED,2840
ATL-CHS,THU,3554
ATL-CHS,FRI,2114
ATL-CHS,SAT,1128
ATL-CID,SUN,1794
ATL-CID,MON,2440
ATL-CID,TUE,1745
ATL-CID,WED,2080
ATL-CID,THU,1517
ATL-CID,FRI,2244
ATL-CID,SAT,684
ATL-CLE,SUN,2156
ATL-CLE,MON,4184
ATL-CLE,TUE,4410
ATL-CLE,WED,3777
ATL-CLE,THU,3756
ATL-CLE,FRI,3369
ATL-CLE,SAT,1284
ATL-CLT,SUN,4503
ATL-CLT,MON,9241
ATL-CLT,TUE,7639
ATL-CLT,WED,7817
ATL-CLT,THU,11254
ATL-CLT,FRI,5912
ATL-CLT,SAT,3776
ATL-CMH,SUN,3168
ATL-CMH,MON,3668
ATL-CMH,TUE,3582
ATL-CMH,WED,4682
ATL-CMH,THU,4167
ATL-CMH,FRI,2411
ATL-CMH,SAT,2403
ATL-COS,SUN,291
ATL-COS,MON,1778
ATL-COS,TUE,327
ATL-COS,WED,981
ATL-COS,THU,1036
ATL-COS,FRI,434
ATL-COS,SAT,377
ATL-CRW,SUN,2249
ATL-CRW,MON,3707
ATL-CRW,TUE,1797
ATL-CRW,WED,1815
ATL-CRW,THU,2514
ATL-CRW,FRI,1622
ATL-CRW,SAT,842
ATL-CSG,SUN,1613
ATL-CSG,MON,2365
ATL-CSG,TUE,1645
ATL-CSG,WED,1558
ATL-CSG,THU,2640
ATL-CSG,FRI,2235
ATL-CSG,SAT,619
ATL-CVG,SUN,2710
